ID,comentarios
71,trabajo equipo grupo obtener experiencia juntos
0,si buenas duda
35,saber seguir hacer
76,cosas curso empresa gestión
65,poder resolver tema nuevo saber espera sentir
25,saber dar publicidad producto
59,cosas genial
76,entender tema
66,mejorar puntos alto
52,aprender hacer ahondar idea proyecto llevar cabo
39,saber interesante
21,gusto explicación clara crear éxito
57,parte ejecución puesta práctica idea interesante
79,saber ser equipo
67,gusto característica poseer crear producto
25,madurar idea cuenta
46,manera principio clara idea
67,salud asistir clase ver tema nuevo tratado disipar
0,manera futuro
49,gusto idea negocio desarrollo
74,organizar éxito
54,explicación programa
51,idea agrandarse desarrollo proyecto
43,profesor clase aprender sesión
79,enfoque tener proyecto
74,aclarar trata jueves idea poder crear personas
8,gusto emprendedor habla si
63,caso clase hoy muchisimo anterior cumplir además plantear mejor plan negocio
31,hacer idea proyecto
37,dinámica curso fácil
2,gusto verdad
52,forma aprendizaje sencillo
19,mejor explicación
50,manera fácil
34,manera tener
22,forma hoy entender
9,producto equipo comprender significado
77,comprender tema
1,forma explicar facilidad
44,manera fácil
33,vez cerca tener
52,aprender ejecutar proyecto
69,información apoyo dar empezar proyecto empresa
38,llegar hacer
19,aprender ejecución
59,gusto manera fácil entender
33,gusto manera entender
62,explicación tema comprensible proceso realizar proyecto
21,lluvia proyecto
59,interesante orador bien
65,gusto parte palabra saber
5,capacidad transmitir idea equipo
34,idea diferente plan trabajo
65,programa crecer avanzar adecuadamente
12,manera profesor tan clara
75,forma importante tener realización proyecto
54,negocio lograr tecnología montar negocio
8,chico empresa diferente aparte diseño juventud
45,opinar gran parte junto grupo tarea
8,poder saber proyecto
56,gusto proyecto
2,trabajo grupo v mejor
21,producto mercado
64,manera dinámica captar
20,clase punto mejor
11,interesante curso
51,poder crear producto idea
35,vez palabras ayudar elaboración proyecto además futuro
77,aprender ejecución idea producto formar equipo negocio tomar buenas formar equipo plantear fundamental
38,clase habla perseverancia
26,explicación tema reparar
67,contenido sesión interesante
26,aprender importancia idea producto importancia ejecutar tener desarrollar proyecto manera eficaz
30,oportunidad empezar plantear idea
42,poder seguir ejecución proyecto
34,trabajo equipo ser tan concreto sentido siempre compromiso
8,valioso necesario
9,gusto mostrar verdad cambiar vida
66,poder usar idea negocio día día
47,explicación realizar
59,trabajo comprender mejor
65,gusto romper actualidad ser exitoso tener carrera clase entender generar ser
71,definición sinceramente claro ahora gracias fácil poder continuar proyecto equipo
6,duda exactamente comenzar
21,aprender ahora
38,aprender ayuda proyecto
71,necesario hacer propio paso paso
34,poder aprender
45,concepto elemento equipo proyecto conocimiento ajustar proceso proyecto
78,lograr desarrollo buen aprendizaje
29,dinámica profesor entender
50,trabajo grupo
71,identificar interesante sesión hoy día
51,gusto vida valioso futuro
22,tan explicativo cosa saber resolver
61,poder crear idea manera base proyecto
33,tema clase hoy interesante
78,explicación profesor
42,poder idea
28,gusto clase super dinámica llama atención segundo además información bien
33,tema liderar equipo importante hacer importante
78,aprender iniciar
31,tiempo compartir apoyo participación
3,aprender crear idea producto equipo
79,estructura tener empresa
51,poder pensar mejor dar proyecto
40,momento poder ver idea negocio
55,forma tema forma facilidad desarrollo
31,explicación importancia hacer tener idea negocio
34,toque dinámico
24,bien hacer empresa producto vez equipo
9,ahora plantear idea claridad saber
21,gusto realizar proyecto
74,anécdota buscador cuenta tener vaya funcionar
56,proyecto personal
74,clase ayudar mejorar negocio
18,profesor objetivo explicar entender claridad
77,ejemplo entender mejor puntos
33,manera dar señor interesante divertido
58,introducción tema totalidad
67,importante tener idea grupo estable
20,gusto ahora idea clara uso ser útil día ayuda ahora
17,gusto parte dije
17,cosas solo gente capital cosa cierto clase
56,manera tan simple sesión
46,negocio mundo pensar simple salir valioso solo si perseverancia
39,lograr idea seguir
51,clase poder aprender cosas manera
30,gusto explicación
14,cantidad vida real además
26,película motivación pensar llegar
39,constante profesor
8,datos ser
13,tener pensar ser ayuda
29,gusto haber producto equipo idea
50,película película interesante
41,tener nuevo tema
63,profesor dar puntos vista tener miedo decir cosas
12,asesor bien
23,clase economía
5,forma profesor
7,aprender cosas ayudar futuro
76,aprender crecer
2,dinámica manera clase
27,manejo información persona clase
4,explicación crear negocio
63,gusto poder poder desarrollar idea equipo
67,mundo llevar cabo proyecto
78,gusto explicación
56,seguir emprender manera poder progresar
43,función cosa base proyecto
35,dinámica profesor
15,dinámica profesor
78,trabajo equipo
22,buen aprendizaje
12,dinámica interesante
28,gusto profesor bien cosas exponer ver mejorar gusto decir entender bien
51,explicación ayuda poder seguir idea empresa
29,ayuda futuro
63,gusto idea equipo cuenta solo personas trabajar gran producto
57,tema principal
48,ayuda ser mejor empresario
21,gusto presentación específico
29,importante hacer debido comienzo negocio innovador
30,q m
36,forma armar negocio utilitario vida
59,proceso pasar proyecto final
70,explicación clara
74,proceso proceso
49,idea realidad clase
27,información ser futuro
57,bien clase
33,herramienta aprendizaje
42,parte cierto equipo ser tener bajón equipo caer poder levantarse
63,gusto tema interesante
75,gusto explicación seguir tener exitoso
14,diferente panorama
27,discutir actualidad producto innovador bonito completar
10,entusiasmo profesor
5,aprender negocio
1,explicar entender
0,hecho diferenciar ahora mejor camino
61,si despejar proyecto
40,realidad clase llamado atencion normal
49,aprender buen crear
74,ámbito empresarial
36,explicación importante conocer cliente fácil seguir bien
25,hecho despegar imaginación mantener proyecto buen camino
51,instancia atención
20,producto servicio serie ayuda ver presentar proyecto frente público objetivo negociar pagar
19,exposición entender comodidad bienestar usuario necesidad personas
3,clase dinámica
1,profesor manera
49,interesante clase manera mostrar equipo
18,conversación profesor respecto idea parte clase hoy debido perspectiva idea
69,gusto clase hoy conversación profesor completar información proyecto
7,idea clara solo público pensar producto encontrar mitad camino
72,buscar problema
48,trabajo equipo
32,poder crear idea diseño entender fácilmente
16,continuación proyecto
10,resolver vida
59,poder dejar imaginación trabajar crear cosas beneficio
38,poder buscar
1,gusto saber hacer diseño decir tomar cuenta hacer producto querer crear producto
4,dinámica interesante
68,manera clara
7,clase hoy aprender realizar mejor manera proyecto
67,aprender cosas nunca tema verdad interesante
16,lograr tiempo intentar
5,saber exactamente solo proceso
35,gusto clase
15,u manera ejemplo modelo saber hacer aplicar
55,clase hoy tema proceso forma simple paso paso manera fácil aprender concepto
11,gusto dinámico
24,reflexionar papel resolver
3,gusto clase hoy
63,hacer crear
16,forma reconocer fácilmente
35,aprender pensar mejorar proyecto
24,creación encontrar forma eficaz resolver problema
57,dinámica grupo equipo
49,trabajar equipo proyecto mejor
42,crear producto solucionar problema
34,bien claro
33,compartir país
31,compartir grupo
31,gusto conocer hacer gran
7,innovación creación producto satisfacer personas solucionar
75,trabajo equipo inventar producto innovador
75,gusto proyecto diseñar
22,actividad poner práctica
44,entender hacer proyecto
54,objeto elegir producto ser
77,poder real
71,hacer ver
66,esquema proceso
7,crear problema idea puesta
45,escuchar clase nunca
70,planteamiento objeto
52,profesor facilidad
68,forma clase manera
25,presentación continuar proyecto
68,trabajo toma gente claro tema
54,aprender idea ser mejor si cabeza
8,perspectiva real aplicación tener mundo
34,gusto crear nuevo hacer creación
78,aprender tomar cuenta servir cliente importante triunfar
9,definición saber si forma gente
32,tema interesante
22,tiempo recibir idea
12,información fácil asimilar almacenar bien tema momento
19,conocer relación producto personas tan íntimo llegar ser visión impacto tener personas generar
7,lluvia equipo
26,diseñar programa
54,hacer prototipo
5,profesor pulir idea afectar empresa
6,incentivo tener miedo
11,actividad entender importancia escuchar
65,crear empresa
60,dinámica usar
64,pensar generalmente negocio
47,explicación uso material enseñanza prototipo
12,proceso crear producto servicio fácil
40,reflexionar llevar cabo forma tan si
5,curso ahora
16,grupo desarrollar capacidad trabajar equipo
68,hacer ver problema solución sociedad
4,ejercicio forma simple práctica ver
56,clase diferente
16,actividad conocer mejor manera grupo trabajo
50,actividad ejemplo formular idea
57,entender voz
3,llevarse cabo
67,explicación profesor trabajo equipo
34,interacción profesor
11,comunicación grupo
32,lluvia opinión
41,aprender diseñar mejor dicho organizar proyecto
10,explicar país ver solucionar
38,explicación seguir crear idea
4,saber importancia personas hoy día tema mamá personas
49,decir clase
7,charla interesante
33,forma información
